rank,token,day_ntl_vlm_usd
1,BTC,2018931867.80
2,ETH,893962387.48
3,SOL,309680427.62
4,HYPE,254934498.05
5,TAO,46881429.17
6,XRP,38729561.61
7,ZEC,29531870.15
8,VVV,16004834.79
9,PAXG,15703808.12
10,FARTCOIN,14832542.37
11,AAVE,10436139.10
12,PUMP,10271193.95
13,SUI,9222111.78
14,DOGE,7059480.30
15,kPEPE,6456561.20
16,LINK,6436827.78
17,ADA,6262669.86
18,ZRO,4999131.44
19,BNB,4468615.80
20,LIT,4238560.87
21,WLD,4074437.08
22,MON,3969373.47
23,AVAX,3724983.49
24,XMR,3542070.19
25,TRUMP,3213762.75
26,NEAR,3019661.11
27,BCH,2982521.51
28,XPL,2922180.96
29,WLFI,2815132.36
30,ENA,2672928.34
31,CRV,2578736.03
32,ASTER,2549543.23
33,JUP,2380037.46
34,VIRTUAL,2256814.32
35,APT,2222842.80
36,FET,2086842.07
37,CC,1933486.97
38,DOT,1844192.58
39,LDO,1823917.85
40,DOOD,1737340.70
41,LTC,1583841.54
42,TRX,1563156.73
43,ARB,1518640.77
44,SKY,1483351.62
45,SEI,1382866.96
46,GOAT,1315975.70
47,WIF,1288344.09
48,OP,1252987.96
49,SPX,1175696.56
50,UNI,1096644.21
51,kSHIB,982928.65
52,ONDO,967205.15
53,XLM,930518.48
54,MORPHO,873945.74
55,DYDX,834591.60
56,PENGU,750170.61
57,TON,739215.78
58,kBONK,728098.12
59,TIA,724026.10
60,RENDER,719481.25
61,HEMI,689732.57
62,PENDLE,656240.62
63,MOODENG,652859.62
64,USUAL,612836.38
65,KAITO,608232.11
66,BERA,583344.03
67,INJ,573514.55
68,ETC,566670.69
69,KAS,565721.59
70,CAKE,564341.40
71,FIL,563374.82
72,STABLE,557530.19
73,POL,555939.97
74,2Z,555765.89
75,AERO,517807.26
76,EIGEN,495391.62
77,SCR,469734.20
78,GRIFFAIN,468307.54
79,JTO,459594.09
80,AXS,442774.53
81,IP,429560.79
82,PROMPT,424050.66
83,YGG,420619.32
84,HBAR,418955.23
85,ETHFI,411024.34
86,STRK,405669.84
87,FTT,402863.31
88,MNT,396874.07
89,RESOLV,373192.94
90,ALGO,351188.93
91,AIXBT,350346.02
92,REZ,346200.88
93,ZEREBRO,343433.94
94,MAVIA,334918.86
95,PYTH,330207.54
96,SOPH,314081.10
97,ANIME,296599.16
98,TURBO,292331.41
99,AR,290712.87
100,ICP,290628.93
